method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.5,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.6,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.6,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.6,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.6,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.7,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.7,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.7,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.7,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.8,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.8,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.8,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.8,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.9,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.9,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.9,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.9,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
